x,y
0.0,0.0
0.36053025231268393,-1.3673981930367498
0.7180177603322098,-2.735527572835681
1.0722205872623025,-4.104444732799405
1.422896230372579,-5.474205134462533
1.7698780220923016,-6.844846978371833
2.114084190379329,-8.216148984322976
2.457243663684473,-9.58769547377354
2.801104329248381,-10.959067089609935
3.1474152061797422,-12.329843625817537
3.497924181719242,-13.699605442315729
3.8543802749755898,-15.067932050122865
4.218242746835969,-16.43447285310957
4.588900671518814,-17.79936933478245
4.964840175503403,-19.1629785995122
5.3445425748298065,-20.525658034636518
5.726490034439072,-21.887765593427094
6.1091644363053215,-23.249658946188674
6.4910473794355905,-24.61169604619296
6.870920407870964,-25.97416551979346
7.248733719417098,-27.337085476879007
7.624722176694997,-28.700409510859437
7.999121208259611,-30.064089800309493
8.372166242665978,-31.42807965567203
8.744092708469083,-32.79233125552178
9.11513575125694,-34.15679791030159
9.485530799584504,-35.521432081553215
9.855512999039776,-36.88618679675247
10.225317495210748,-38.25101451744115
10.595180282586442,-39.61586827109505
10.965335657853812,-40.98070080222292
11.336019898468885,-42.34546513830064
11.707439570351319,-43.71011798537515
12.079597786138251,-45.074648024765914
12.452407109022616,-46.43905780317606
12.825779536263283,-47.80334986730872
13.199627631053165,-49.16752648089996
13.573863390651164,-50.53159047361995
13.94839909528318,-51.89554439217179
14.32314730814212,-53.2593902173246
14.698019460552846,-54.62313106171548
15.072928681642317,-55.98676918908059
15.447786685702376,-57.350307146123
15.822505752958955,-58.71374747954586
16.19699788067094,-60.077092453085264
16.571175632031228,-61.44034546234537
16.94491733122413,-62.80356904303608
17.31802659914251,-64.16696070613268
17.69029800173472,-65.53073550656514
18.06152497308116,-66.89510849926357
18.43150179616319,-68.260295022125
18.80002218802817,-69.62650956414545
19.166970698134712,-70.99393124344432
19.535710389434946,-72.3613181178006
19.914110291599478,-73.72559122314333
20.31033881339897,-75.08354878771804
20.73256436360402,-76.4319893227371
21.188955916919273,-77.76771049051194
21.687681882115346,-79.087511368189
22.241330895676388,-80.38442728867187
22.880170524171472,-81.63644455020015
23.61819801387654,-82.83282031011687
24.388360086503905,-84.02158425737798
25.1562369175325,-85.22277526695866
25.95626672433925,-86.40085805837178
26.827413498710538,-87.5166224585294
27.796740205790716,-88.53590670882654
28.864805422463878,-89.43579302789553
30.028589607731956,-90.19488090349351
31.284437110751167,-90.79370758148424
32.61939568242538,-91.24113275905158
34.01346832689734,-91.56747521979405
35.44618068295854,-91.80237236274223
36.88567406052452,-91.92971515880062
38.285513572725925,-91.87482436867515
39.59831045089176,-91.55918966267994
40.7845624999765,-90.92177166045927
